1000	0,00543457									
2000	0,000922927									
3000	0,000848009									
4000	0,000969465									
5000	0,00114815									
6000	0,00376838									
7000	0,00440579									
8000	0,00156497									
9000	0,00236549									
10000	0,00484865									
11000	0,0058221									
12000	0,00147923									
1000000	0,131257									
1500000	0,171026									
2000000	0,223238									
									Počet čísel	čas [s]
									10kk	1,36327
									20kk	2,5557
									30kk	3,68267
									40kk	5,04786
									50kk	6,25092
									60kk	7,83432
									70kk	9,20648
									80kk	10,3106
									90kk	11,4412
